date,time,liks,DL_sig
2022-03-31,1234,0.54335886,
2022-03-31,1235,0.56163836,
2022-03-31,1236,0.5113125,
2022-03-31,1237,0.5339676,
2022-03-31,1238,0.51501137,
2022-03-31,1239,0.5356565,
2022-03-31,1240,0.60181135,
2022-03-31,1241,0.5051267,
2022-03-31,1242,0.55763334,
2022-03-31,1243,0.6275623,
2022-03-31,1244,0.5861316,
2022-03-31,1245,0.6214551,
2022-03-31,1246,0.5493276,
2022-03-31,1247,0.58514434,
2022-03-31,1248,0.60646343,
2022-03-31,1249,,
2022-03-31,1250,,
2022-03-31,1251,0.55262226,
2022-03-31,1252,0.5819387,
2022-03-31,1253,0.52160066,
2022-03-31,1254,0.52675813,
2022-03-31,1255,0.52742505,
2022-03-31,1256,0.5079178,
2022-03-31,1257,0.528681,
2022-03-31,1258,0.53435653,
2022-03-31,1259,0.564508,
2022-03-31,1300,0.62274194,
2022-03-31,1301,0.5919426,
2022-03-31,1302,0.61424196,
2022-03-31,1303,,
2022-03-31,1304,0.5630833,
2022-03-31,1305,0.5258222,
2022-03-31,1306,0.59345394,
2022-03-31,1307,0.56441754,
2022-03-31,1308,0.5390671,
2022-03-31,1309,0.51630825,
2022-03-31,1310,0.58356434,
2022-03-31,1311,0.58620983,
2022-03-31,1312,0.58377826,
2022-03-31,1313,0.5811828,
2022-03-31,1314,,
2022-03-31,1315,0.5087461,
2022-03-31,1316,0.5611405,
2022-03-31,1317,0.55488265,
2022-03-31,1318,0.5424832,
2022-03-31,1319,,
2022-03-31,1320,0.5199843,
2022-03-31,1321,,
2022-03-31,1322,0.5481545,
2022-03-31,1323,0.52958286,
2022-03-31,1324,0.51874244,
2022-03-31,1325,0.54405075,
2022-03-31,1326,0.554611,
2022-03-31,1327,,
2022-03-31,1328,0.5817437,
2022-03-31,1329,0.6020135,
2022-03-31,1330,0.51340026,
2022-03-31,1331,0.58786124,
2022-03-31,1332,0.5347941,
2022-03-31,1333,0.5881193,
2022-03-31,1334,0.51821554,
2022-03-31,1335,0.5188941,
2022-03-31,1336,0.5160076,
2022-03-31,1337,0.57282436,
2022-03-31,1338,0.54017794,
2022-03-31,1339,,
2022-03-31,1340,0.5564582,
2022-03-31,1341,,
2022-03-31,1342,0.55383885,
2022-03-31,1343,0.50798255,
2022-03-31,1344,0.5164714,
2022-03-31,1345,0.51711655,
2022-03-31,1346,0.5877014,
2022-03-31,1347,0.56500983,
2022-03-31,1348,,
2022-03-31,1349,,
2022-03-31,1350,0.52782923,
2022-03-31,1351,0.50437963,
2022-03-31,1352,,
2022-03-31,1353,,
2022-03-31,1354,,
2022-03-31,1355,0.54872715,
2022-03-31,1356,0.5052373,
2022-03-31,1357,0.510488,
2022-03-31,1358,,
2022-03-31,1359,,
2022-03-31,1400,,
2022-03-31,1401,,
2022-03-31,1402,,
2022-03-31,1403,,
2022-03-31,1404,,
2022-03-31,1405,0.5380138,
2022-03-31,1406,0.5652992,
2022-03-31,1407,0.59592694,
2022-03-31,1408,0.5319591,
2022-03-31,1409,0.57664835,
2022-03-31,1410,0.6105774,
2022-03-31,1411,0.51676166,
2022-03-31,1412,0.51994336,
2022-03-31,1413,0.57110643,
2022-03-31,1414,0.52203476,
2022-03-31,1415,,
2022-03-31,1416,0.52766305,
2022-03-31,1417,0.5431982,
2022-03-31,1418,0.61830765,
2022-03-31,1419,0.5013105,
2022-03-31,1420,0.52731943,
2022-03-31,1421,0.5054739,
2022-03-31,1422,,
2022-03-31,1423,0.5812946,
2022-03-31,1424,0.5701073,
2022-03-31,1425,,
2022-03-31,1426,,
2022-03-31,1427,0.50135386,
2022-03-31,1428,0.525564,
2022-03-31,1429,0.5725403,
2022-03-31,1430,0.5778218,
2022-03-31,1431,0.5965615,
2022-03-31,1432,0.56401443,
2022-03-31,1433,0.50147164,
2022-03-31,1434,0.5198714,
2022-03-31,1435,0.5561313,
2022-03-31,1436,0.513905,
2022-03-31,1437,0.57661724,
2022-03-31,1438,0.5113407,
2022-03-31,1439,0.6041916,
2022-03-31,1440,0.5869369,
2022-03-31,1441,0.56064653,
2022-03-31,1442,0.50367934,
2022-03-31,1443,0.5325198,
2022-03-31,1444,0.5183854,
2022-03-31,1445,0.50234294,
2022-03-31,1446,,
2022-03-31,1447,0.54036057,
2022-03-31,1448,0.58072317,
2022-03-31,1449,0.60000634,
2022-03-31,1450,0.6021044,
2022-03-31,1451,0.5930506,
2022-03-31,1452,0.5001492,
2022-03-31,1453,0.5417784,
2022-03-31,1454,,
2022-03-31,1455,0.58044827,
2022-03-31,1456,0.5237971,
2022-03-31,1457,0.5695821,
2022-03-31,1458,,
2022-03-31,1459,0.51196396,
2022-03-31,1500,0.5422713,
2022-03-31,1501,0.5172942,
2022-03-31,1502,0.52412105,
2022-03-31,1503,0.5489159,
2022-03-31,1504,,
2022-03-31,1505,0.6224822,
2022-03-31,1506,0.6381065,
2022-03-31,1507,0.58757025,
2022-03-31,1508,0.59529203,
2022-03-31,1509,0.57870924,
2022-03-31,1510,0.5274998,
2022-03-31,1511,0.5258995,
2022-03-31,1512,0.5008212,
2022-03-31,1513,0.5193211,
2022-03-31,1514,0.6078501,
2022-03-31,1515,0.6294894,
2022-03-31,1516,0.62016416,
2022-03-31,1517,0.57471514,
2022-03-31,1518,0.6138674,
2022-03-31,1519,0.50108343,
2022-03-31,1520,0.53196746,
2022-03-31,1521,0.5338114,
2022-03-31,1522,,
2022-03-31,1523,0.5060518,
2022-03-31,1524,0.50849444,
2022-03-31,1525,0.5552932,
2022-03-31,1526,0.6097999,
2022-03-31,1527,,
2022-03-31,1528,,
2022-03-31,1529,,
2022-03-31,1530,,
